2022-08-15 18:23:36.7808|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:23:36.8078|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:23:36.8078|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:23:36.8078|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:23:36.8078|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\mrtag\source\repos\AspNetCoreLibrary\AspNetCoreLibrary\LoggingNlogLibrary\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:23:37.5619|0|INFO|LoggingNlogLibrary.Controllers.HomeController|Hello, this is the index! |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController.Index
2022-08-15 18:26:34.8445|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:26:34.8611|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:26:34.8611|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:26:34.8649|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:26:34.8649|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\mrtag\source\repos\AspNetCoreLibrary\AspNetCoreLibrary\LoggingNlogLibrary\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:26:35.7171|0|INFO|LoggingNlogLibrary.Controllers.HomeController|Hello, this is the index! |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController.Index
2022-08-15 18:29:24.7305|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:29:24.7507|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:29:24.7507|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:29:24.7555|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:29:24.7555|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\mrtag\source\repos\AspNetCoreLibrary\AspNetCoreLibrary\LoggingNlogLibrary\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:29:25.4075|0|INFO|LoggingNlogLibrary.Controllers.HomeController|Hello, this is the index! |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController.Index
2022-08-15 18:29:54.4912|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:29:54.5158|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:29:54.5158|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:29:54.5203|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:29:54.5203|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\mrtag\source\repos\AspNetCoreLibrary\AspNetCoreLibrary\LoggingNlogLibrary\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:29:56.1515|1|INFO|LoggingNlogLibrary.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController..ctor
2022-08-15 18:29:56.1515|0|INFO|LoggingNlogLibrary.Controllers.HomeController|Hello, this is the index! |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController.Index
2022-08-15 18:30:16.3025|1|INFO|LoggingNlogLibrary.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController..ctor
2022-08-15 18:30:16.3025|0|INFO|LoggingNlogLibrary.Controllers.HomeController|Hello, this is the index! |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController.Index
2022-08-15 18:31:32.5563|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:31:32.5734|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5162 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-08-15 18:31:32.5734|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:31:32.5734|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:31:32.5734|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\mrtag\source\repos\AspNetCoreLibrary\AspNetCoreLibrary\LoggingNlogLibrary\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-08-15 18:31:33.5213|1|INFO|LoggingNlogLibrary.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController..ctor
2022-08-15 18:31:33.5213|0|INFO|LoggingNlogLibrary.Controllers.HomeController|Hello, this is the index! |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController.Index
2022-08-15 18:31:40.4977|1|INFO|LoggingNlogLibrary.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController..ctor
2022-08-15 18:31:40.4977|0|INFO|LoggingNlogLibrary.Controllers.HomeController|Hello, this is the index! |url: https://localhost/|action: Index|LoggingNlogLibrary.Controllers.HomeController.Index
